record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sele0112,q1c,250.0,601.324,90.0,0,150.0,30,30,30,30,30,138,138,138,0.1,30,108,0,1.0,93.73333333333333,96.0,61.61803487796591,23.433333333333334,0.0,30,108,0,1.0,8.0,4.0,9.794329425177045,2.0,0.0,11,127,19,0.36666666666666664,139.63636363636363,140.0,6.918653669251071,34.90909090909091,0.0,30,1.0,41.46666666666667,44.0,30,1.0,20.8,26.0,64.61971830985915,80.0,51.84004819735171
sele0114,q1c,250.0,602.428,42.364,0,150.0,30,30,30,30,30,60,60,60,0.08645533141210375,30,30,0,1.0,34.0,24.0,38.625495322246536,8.5,0.0,30,30,0,1.0,2.1333333333333333,4.0,1.9955506062794355,0.5333333333333333,0.0,9,51,21,0.3,136.0,136.0,8.0,34.0,0.0,30,1.0,37.333333333333336,36.0,30,1.0,35.2,36.0,33.44927536231884,8.0,45.9614003873017
sele0116,q1c,250.0,601.86,48.252,0,150.0,30,30,30,30,30,44,44,44,0.0,12,32,18,0.4,99.33333333333333,94.0,78.92331017442748,24.833333333333332,0.0,30,14,0,1.0,5.466666666666667,4.0,2.4184476196289406,1.3666666666666667,0.0,29,15,1,0.9666666666666667,91.44827586206897,96.0,35.56695549839056,22.862068965517242,0.0,30,1.0,10.666666666666666,8.0,30,1.0,42.266666666666666,44.0,56.45070422535211,80.0,48.76179199597771
sele0121,q1c,250.0,600.328,19.308,0,150.0,30,30,30,30,30,31,32,31,0.0,30,1,0,1.0,8.8,8.0,3.7806525010020864,2.2,0.0,30,2,0,1.0,4.0,4.0,1.4605934866804429,1.0,0.0,30,1,0,1.0,10.0,8.0,4.09878030638384,2.5,0.0,30,1.0,28.8,30.0,30,1.0,10.533333333333333,8.0,7.6,8.0,4.2184778718817
sele0122,q1c,250.0,600.228,20.26,0,150.0,30,30,30,30,30,31,32,31,0.09731543624161074,30,1,0,1.0,9.733333333333333,8.0,4.090096440047458,2.433333333333333,0.0,30,2,0,1.0,9.866666666666667,8.0,1.9955506062794357,2.466666666666667,0.0,30,1,0,1.0,8.8,8.0,5.339995838533543,2.2,0.0,30,1.0,35.733333333333334,36.0,30,1.0,18.666666666666668,20.0,9.466666666666667,8.0,3.885013942488924
sele0124,q1c,250.0,600.856,43.336,0,150.0,50,50,50,50,50,54,54,54,0.0,50,4,0,1.0,15.84,16.0,9.601333240753599,3.96,0.0,50,4,0,1.0,4.8,4.0,3.0983866769659336,1.2,0.0,50,4,0,1.0,17.68,16.0,19.816922061712813,4.42,0.0,50,1.0,24.64,24.0,50,1.0,15.28,16.0,12.773333333333333,8.0,10.995239373878539
sele0126,q1c,250.0,600.18,29.588,0,150.0,30,30,30,30,30,33,33,33,0.1,30,3,0,1.0,9.2,8.0,6.56048778674269,2.3,0.0,30,3,0,1.0,1.7333333333333334,0.0,2.462158041682585,0.43333333333333335,0.0,30,3,0,1.0,7.2,8.0,8.193222131059848,1.8,0.0,30,1.0,4.266666666666667,4.0,30,1.0,23.733333333333334,24.0,6.044444444444444,4.0,5.664531188037269
sele0129,q1c,250.0,600.852,43.872,0,150.0,30,30,30,30,30,41,41,41,0.0,30,11,0,1.0,68.8,74.0,28.833314065504165,17.2,0.0,30,11,0,1.0,6.4,4.0,6.984427121978024,1.6,0.0,9,32,21,0.3,26.666666666666668,12.0,48.568648120437864,6.666666666666667,0.0,30,1.0,53.46666666666667,56.0,30,1.0,35.2,36.0,36.17391304347826,12.0,38.1936167827683
sele0133,q1c,250.0,601.24,32.232,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,13.6,12.0,6.953815898882824,3.4,0.0,30,0,0,1.0,8.4,4.0,11.523116862299982,2.1,0.0,30,0,0,1.0,18.266666666666666,20.0,11.063453348751466,4.566666666666666,0.0,30,1.0,60.13333333333333,58.0,30,1.0,31.2,36.0,13.422222222222222,12.0,10.436024975245633
sele0136,q1c,250.0,600.188,34.108,0,150.0,30,30,30,30,30,55,55,55,0.0429042904290429,30,25,0,1.0,8.4,8.0,9.372299611087985,2.1,0.0,30,25,0,1.0,9.2,8.0,2.7616420236277306,2.3,0.0,27,28,3,0.9,78.81481481481481,88.0,57.183266135521905,19.703703703703702,0.0,30,1.0,20.533333333333335,22.0,30,1.0,6.266666666666667,4.0,30.528735632183906,12.0,39.126625875794126
sele0166,q1c,250.0,601.608,90.0,0,150.0,35,35,35,35,35,91,91,91,0.0,35,56,0,1.0,8.342857142857143,8.0,6.448793590704405,2.085714285714286,0.0,35,56,0,1.0,11.2,12.0,7.240701285237558,2.8,0.0,35,56,0,1.0,8.685714285714285,4.0,16.999783912192076,2.1714285714285713,0.0,35,1.0,5.0285714285714285,4.0,35,1.0,43.77142857142857,44.0,9.40952380952381,8.0,10.01303458887487
