record,annotator,fs,window_start_s,window_seconds,lead,tolerance_ms,n_ref_p,n_ref_r,n_ref_t,n_ref_qrs_onset,n_ref_qrs_offset,n_pred_p,n_pred_r,n_pred_t,unmapped_rate,p_matched,p_false_positive,p_missing,p_coverage,p_mae_ms,p_median_ae_ms,p_std_ms,p_mae_samples,p_unavailable_rate,r_matched,r_false_positive,r_missing,r_coverage,r_mae_ms,r_median_ae_ms,r_std_ms,r_mae_samples,r_unavailable_rate,t_matched,t_false_positive,t_missing,t_coverage,t_mae_ms,t_median_ae_ms,t_std_ms,t_mae_samples,t_unavailable_rate,q_vs_qrs_onset_approx_matched,q_vs_qrs_onset_approx_coverage,q_vs_qrs_onset_approx_mae_ms,q_vs_qrs_onset_approx_median_ae_ms,s_vs_qrs_offset_approx_matched,s_vs_qrs_offset_approx_coverage,s_vs_qrs_offset_approx_mae_ms,s_vs_qrs_offset_approx_median_ae_ms,overall_mae_ms,overall_median_ae_ms,overall_std_ms
sel223,q1c,250.0,671.02,49.856,0,150.0,31,31,31,31,31,72,72,72,0.0,31,41,0,1.0,7.870967741935484,8.0,8.203448425936688,1.967741935483871,0.0,31,41,0,1.0,0.9032258064516129,0.0,1.7879234142646474,0.22580645161290322,0.0,31,41,0,1.0,20.516129032258064,20.0,15.669850821429952,5.129032258064516,0.0,31,1.0,13.161290322580646,12.0,31,1.0,9.290322580645162,4.0,9.763440860215054,4.0,11.531534929830475
sel230,q1c,250.0,600.12,67.292,0,150.0,50,50,50,50,50,79,79,79,0.0,50,29,0,1.0,7.76,8.0,6.9691893359270995,1.94,0.0,50,29,0,1.0,8.72,8.0,3.2682717145304796,2.18,0.0,50,29,0,1.0,11.92,8.0,16.175240338245363,2.98,0.0,50,1.0,23.36,24.0,50,1.0,14.96,16.0,9.466666666666667,8.0,7.553071487076558
sel231,q1c,250.0,600.856,85.648,0,150.0,50,50,50,50,50,96,97,97,0.0,50,46,0,1.0,7.36,8.0,8.35224520712844,1.84,0.0,50,47,0,1.0,12.8,16.0,5.768882040742383,3.2,0.0,50,47,0,1.0,10.48,8.0,12.860108864235949,2.62,0.0,50,1.0,18.08,16.0,50,1.0,26.72,26.0,10.213333333333333,8.0,7.14850722567695
sel232,q1c,250.0,600.532,47.648,0,150.0,0,30,30,30,30,48,50,49,0.0,0,48,0,0.0,,,,,1.0,30,20,0,1.0,2.0,2.0,2.0,0.5,0.0,30,19,0,1.0,8.533333333333333,8.0,8.698403429493382,2.1333333333333333,0.0,30,1.0,23.866666666666667,24.0,30,1.0,74.8,74.0,5.266666666666667,4.0,5.189305241445033
sel233,q1c,250.0,600.532,62.988,0,150.0,30,30,30,30,30,104,107,107,0.0,30,74,0,1.0,8.533333333333333,8.0,8.415858046965067,2.1333333333333333,0.0,30,77,0,1.0,5.866666666666666,4.0,3.6854066562894006,1.4666666666666666,0.0,30,77,0,1.0,113.33333333333333,116.0,14.09806921374539,28.333333333333332,0.0,30,1.0,18.933333333333334,20.0,30,1.0,16.133333333333333,16.0,42.577777777777776,12.0,50.90928266758819
sel30,q1c,250.0,600.9,28.456,0,150.0,30,30,30,30,30,30,30,30,0.0,30,0,0,1.0,7.2,8.0,4.122566622330749,1.8,0.0,30,0,0,1.0,9.466666666666667,8.0,1.9275776393067945,2.3666666666666667,0.0,30,0,0,1.0,4.0,4.0,3.780652501002087,1.0,0.0,30,1.0,15.333333333333334,16.0,30,1.0,17.866666666666667,16.0,6.888888888888889,8.0,3.677089562999654
sel301,q1c,250.0,600.356,39.144,0,150.0,30,30,30,30,30,48,49,49,0.0,30,18,0,1.0,6.4,4.0,8.783823515733655,1.6,0.0,30,19,0,1.0,4.666666666666667,4.0,2.1540659228538015,1.1666666666666667,0.0,30,19,0,1.0,15.466666666666667,14.0,11.853925744476195,3.8666666666666667,0.0,30,1.0,16.4,16.0,30,1.0,20.666666666666668,20.0,8.844444444444445,4.0,8.443157796716044
sel302,q1c,250.0,603.972,20.728,0,150.0,30,30,30,30,30,34,35,34,0.0,30,4,0,1.0,6.666666666666667,8.0,6.2481997407253225,1.6666666666666667,0.0,30,5,0,1.0,6.133333333333334,8.0,2.4729649321321876,1.5333333333333334,0.0,30,4,0,1.0,11.333333333333334,12.0,6.667999866693326,2.8333333333333335,0.0,30,1.0,14.533333333333333,16.0,30,1.0,21.066666666666666,20.0,8.044444444444444,8.0,5.382917653943427
sel306,q1c,250.0,600.444,90.0,0,150.0,30,30,30,30,30,104,104,104,0.0,30,74,0,1.0,28.533333333333335,28.0,12.208558018410237,7.133333333333334,0.0,30,74,0,1.0,11.333333333333334,12.0,3.8758511609996353,2.8333333333333335,0.0,17,87,13,0.5666666666666667,118.82352941176471,120.0,13.426204816646687,29.705882352941178,0.0,30,1.0,11.333333333333334,12.0,30,1.0,5.733333333333333,4.0,41.76623376623377,24.0,42.666905604548255
sel307,q1c,250.0,601.008,32.812,0,150.0,30,30,30,30,30,38,38,38,0.04887218045112782,30,8,0,1.0,11.6,12.0,10.20762242422571,2.9,0.0,30,8,0,1.0,5.6,4.0,1.9595917942265426,1.4,0.0,30,8,0,1.0,11.333333333333334,8.0,8.098285140832115,2.8333333333333335,0.0,30,1.0,26.133333333333333,28.0,30,1.0,7.333333333333333,6.0,9.511111111111111,8.0,7.0698804711637955
