record,fs,seconds,analysed_seconds,refractory_ms,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,mean_hr_bpm,signal_quality,rhythm_label,reasons
117,360.0,300.0,300.0,220.0,292,252,251.0,41.0,1.0,0.996031746031746,0.8595890410958904,0.9227941176470589,1.4820717131474104,1.0,2.3493480370999538,8.2,58.33611760775141,0.9069767441776094,Low preliminary rhythm warning,Low heart-rate status; Irregular RR intervals
118,360.0,300.0,300.0,220.0,362,368,362.0,0.0,6.0,0.9836956521739131,1.0,0.9917808219178083,3.2790055248618786,2.0,4.665615011135152,0.0,72.34066239910939,0.9223300970826033,Normal rhythm candidate,No rule-based warning
119,360.0,300.0,300.0,220.0,328,349,326.0,2.0,23.0,0.9340974212034384,0.9939024390243902,0.9630723781388478,0.7484662576687117,1.0,0.9660190571093736,0.4,65.78741477590253,0.9402985074570728,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
121,360.0,300.0,300.0,220.0,305,306,303.0,2.0,3.0,0.9901960784313726,0.9934426229508196,0.9918166939443536,0.7920792079207921,1.0,0.6706088716640933,0.4,61.04871699516548,0.9223489444237976,Low preliminary rhythm warning,Wide QRS warning
122,360.0,300.0,300.0,220.0,422,423,422.0,0.0,1.0,0.9976359338061466,1.0,0.9988165680473373,0.43838862559241704,0.0,0.6305855954683647,0.0,84.29365962180202,0.9097744360847537,Normal rhythm candidate,No rule-based warning
123,360.0,300.0,300.0,220.0,260,250,249.0,11.0,1.0,0.996,0.9576923076923077,0.9764705882352941,1.0763052208835342,1.0,0.2802050368275086,2.2,51.91006857132253,0.8857142857041631,Low preliminary rhythm warning,Low heart-rate status; Irregular RR intervals
124,360.0,300.0,300.0,220.0,253,254,252.0,1.0,2.0,0.9921259842519685,0.9960474308300395,0.9940828402366864,0.5674603174603174,1.0,0.5189013676775934,0.2,50.572790367087556,0.94052044609106,Low preliminary rhythm warning,Low heart-rate status
200,360.0,300.0,300.0,220.0,442,462,434.0,8.0,28.0,0.9393939393939394,0.9819004524886877,0.9601769911504424,1.7419354838709677,1.0,5.110881635052325,1.6,88.30711325774782,0.9039999999942144,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion
201,360.0,300.0,300.0,220.0,441,443,441.0,0.0,2.0,0.9954853273137697,1.0,0.9977375565610859,1.0317460317460319,1.0,0.46059105169990183,0.0,88.15099939711544,0.862068965505351,Moderate preliminary rhythm warning,Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
202,360.0,300.0,300.0,220.0,275,266,264.0,11.0,2.0,0.9924812030075187,0.96,0.9759704251386321,0.8712121212121212,1.0,1.804478028407271,2.2,54.871129241609495,0.8699186991756757,High preliminary rhythm warning,Low heart-rate status; Irregular RR intervals; Premature-beat suspicion; Wide QRS warning
