detector,record,fs,seconds,analysed_seconds,detected_r_peaks,reference_annotations,tp,fp,fn,sensitivity,positive_predictive_value,f1,mean_abs_timing_error_samples,median_abs_timing_error_samples,timing_jitter_samples,false_positives_per_minute,runtime_ms,runtime_ms_per_minute_ecg
current,103,360.0,60.0,60.0,70,71,70.0,0.0,1.0,0.9859154929577465,1.0,0.9929078014184397,0.6428571428571429,1.0,0.4791574237499549,0.0,4.668291003326885,4.668291003326885
current,104,360.0,60.0,60.0,77,77,74.0,3.0,3.0,0.961038961038961,0.961038961038961,0.961038961038961,24.64864864864865,36.0,19.427413553284527,3.0,5.338667004252784,5.338667004252784
current,105,360.0,60.0,60.0,83,84,83.0,0.0,1.0,0.9880952380952381,1.0,0.9940119760479043,0.4578313253012048,0.0,0.5865379009464138,0.0,5.215541998040862,5.215541998040862
current,106,360.0,60.0,60.0,68,70,68.0,0.0,2.0,0.9714285714285714,1.0,0.9855072463768115,0.6470588235294118,0.0,3.1897869026674917,0.0,4.902959000901319,4.902959000901319
current,107,360.0,60.0,60.0,71,72,71.0,0.0,1.0,0.9861111111111112,1.0,0.993006993006993,32.985915492957744,38.0,16.342847759260454,0.0,4.704750004748348,4.704750004748348
current,108,360.0,60.0,60.0,59,63,58.0,1.0,5.0,0.9206349206349206,0.9830508474576272,0.9508196721311476,0.603448275862069,1.0,0.8320640353112865,1.0,4.743459001474548,4.743459001474548
current,109,360.0,60.0,60.0,91,92,91.0,0.0,1.0,0.9891304347826086,1.0,0.994535519125683,2.065934065934066,1.0,3.443893629735216,0.0,5.316749993653502,5.316749993653502
current,111,360.0,60.0,60.0,69,70,69.0,0.0,1.0,0.9857142857142858,1.0,0.9928057553956835,1.0579710144927537,1.0,0.5352517481918663,0.0,4.505875003815163,4.505875003815163
current,112,360.0,60.0,60.0,85,86,85.0,0.0,1.0,0.9883720930232558,1.0,0.9941520467836257,0.15294117647058825,0.0,0.3599307891947849,0.0,5.019125004764646,5.019125004764646
current,113,360.0,60.0,60.0,62,59,58.0,4.0,1.0,0.9830508474576272,0.9354838709677419,0.9586776859504132,0.5517241379310345,1.0,0.49731741730537776,4.0,5.364124997868203,5.364124997868203
current,114,360.0,60.0,60.0,57,55,55.0,2.0,0.0,1.0,0.9649122807017544,0.9821428571428572,6.9818181818181815,9.0,5.7232020165562965,2.0,4.490917002840433,4.490917002840433
current,115,360.0,60.0,60.0,63,64,63.0,0.0,1.0,0.984375,1.0,0.9921259842519685,1.3015873015873016,1.0,0.4589470569778083,0.0,4.322624998167157,4.322624998167157
current,116,360.0,60.0,60.0,79,79,78.0,1.0,1.0,0.9873417721518988,0.9873417721518988,0.9873417721518988,0.9230769230769231,1.0,0.38461538461538464,1.0,4.677375000028405,4.677375000028405
current,117,360.0,60.0,60.0,57,51,50.0,7.0,1.0,0.9803921568627451,0.8771929824561403,0.9259259259259259,2.06,1.0,2.996064084761873,7.0,5.007916006434243,5.007916006434243
current,118,360.0,60.0,60.0,73,74,73.0,0.0,1.0,0.9864864864864865,1.0,0.9931972789115647,4.068493150684931,2.0,6.025310971435067,0.0,4.902000000583939,4.902000000583939
current,119,360.0,60.0,60.0,66,71,65.0,1.0,6.0,0.9154929577464789,0.9848484848484849,0.948905109489051,0.8615384615384616,1.0,1.599112179715235,1.0,4.8000409951782785,4.8000409951782785
current,121,360.0,60.0,60.0,60,61,60.0,0.0,1.0,0.9836065573770492,1.0,0.9917355371900827,0.8333333333333334,1.0,0.7717224601860149,0.0,4.495417000725865,4.495417000725865
current,122,360.0,60.0,60.0,87,88,87.0,0.0,1.0,0.9886363636363636,1.0,0.9942857142857142,0.3793103448275862,0.0,0.6164178242662953,0.0,5.19279099535197,5.19279099535197
current,123,360.0,60.0,60.0,52,50,49.0,3.0,1.0,0.98,0.9423076923076923,0.9607843137254902,1.0408163265306123,1.0,0.19786448397617673,3.0,4.463750003196765,4.463750003196765
current,124,360.0,60.0,60.0,49,50,49.0,0.0,1.0,0.98,1.0,0.98989898989899,0.6530612244897959,1.0,0.5170963044620378,0.0,4.015083002741449,4.015083002741449
current,200,360.0,60.0,60.0,89,94,88.0,1.0,6.0,0.9361702127659575,0.9887640449438202,0.9617486338797814,2.727272727272727,1.0,7.501480570114253,1.0,5.399959001806565,5.399959001806565
current,201,360.0,60.0,60.0,89,91,89.0,0.0,2.0,0.978021978021978,1.0,0.9888888888888888,1.0786516853932584,1.0,0.40293081072002485,0.0,5.151833000127226,5.151833000127226
current,202,360.0,60.0,60.0,55,54,53.0,2.0,1.0,0.9814814814814815,0.9636363636363636,0.9724770642201834,0.7924528301886793,1.0,1.3647653826434052,2.0,4.670416994486004,4.670416994486004
current,203,360.0,60.0,60.0,102,109,102.0,0.0,7.0,0.9357798165137615,1.0,0.966824644549763,2.2941176470588234,1.0,6.677327116748712,0.0,5.307332998199854,5.307332998199854
current,205,360.0,60.0,60.0,89,90,89.0,0.0,1.0,0.9888888888888889,1.0,0.9944134078212291,0.2808988764044944,0.0,0.4494382022471911,0.0,5.063332995632663,5.063332995632663
current,207,360.0,60.0,60.0,82,97,75.0,7.0,22.0,0.7731958762886598,0.9146341463414634,0.8379888268156425,10.226666666666667,5.0,15.838653141392207,7.0,5.149167001945898,5.149167001945898
current,208,360.0,60.0,60.0,106,111,98.0,8.0,13.0,0.8828828828828829,0.9245283018867925,0.903225806451613,2.510204081632653,1.0,6.194138111051085,8.0,5.2864579993183725,5.2864579993183725
current,209,360.0,60.0,60.0,93,94,93.0,0.0,1.0,0.9893617021276596,1.0,0.9946524064171123,0.946236559139785,1.0,0.3396896558909959,0.0,5.114624997077044,5.114624997077044
current,210,360.0,60.0,60.0,92,93,90.0,2.0,3.0,0.967741935483871,0.9782608695652174,0.972972972972973,0.35555555555555557,0.0,0.7370277311900889,2.0,5.251999995380174,5.251999995380174
current,212,360.0,60.0,60.0,90,91,90.0,0.0,1.0,0.989010989010989,1.0,0.994475138121547,1.3888888888888888,1.0,3.713921091857393,0.0,5.057207999925595,5.057207999925595
current,213,360.0,60.0,60.0,110,112,110.0,0.0,2.0,0.9821428571428571,1.0,0.9909909909909909,0.14545454545454545,0.0,0.3654500225862142,0.0,5.609915999229997,5.609915999229997
current,214,360.0,60.0,60.0,76,77,76.0,0.0,1.0,0.987012987012987,1.0,0.9934640522875817,1.4078947368421053,1.0,3.2532478976641954,0.0,4.889833006018307,4.889833006018307
current,215,360.0,60.0,60.0,114,114,114.0,0.0,0.0,1.0,1.0,1.0,1.4385964912280702,1.0,4.0728212815874105,0.0,5.655417000525631,5.655417000525631
current,217,360.0,60.0,60.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,22.38888888888889,23.0,3.169102377100369,0.0,4.823999996006023,4.823999996006023
current,219,360.0,60.0,60.0,74,75,74.0,0.0,1.0,0.9866666666666667,1.0,0.9932885906040269,0.25675675675675674,0.0,0.4368440506822868,0.0,4.830333004065324,4.830333004065324
current,220,360.0,60.0,60.0,72,73,72.0,0.0,1.0,0.9863013698630136,1.0,0.993103448275862,1.2083333333333333,1.0,1.3367288939057422,0.0,4.6435000040219165,4.6435000040219165
current,221,360.0,60.0,60.0,78,79,78.0,0.0,1.0,0.9873417721518988,1.0,0.9936305732484078,0.9615384615384616,1.0,0.8989913260645235,0.0,4.956124997988809,4.956124997988809
current,222,360.0,60.0,60.0,75,76,75.0,0.0,1.0,0.9868421052631579,1.0,0.9933774834437086,0.5066666666666667,1.0,0.4999555535800713,0.0,4.995167000743095,4.995167000743095
current,223,360.0,60.0,60.0,81,81,80.0,1.0,1.0,0.9876543209876543,0.9876543209876543,0.9876543209876543,1.6875,2.0,0.4897384506039933,1.0,5.000749995815568,5.000749995815568
current,228,360.0,60.0,60.0,74,85,73.0,1.0,12.0,0.8588235294117647,0.9864864864864865,0.9182389937106918,1.0410958904109588,1.0,2.714610912051322,1.0,4.776584006322082,4.776584006322082
current,230,360.0,60.0,60.0,80,86,79.0,1.0,7.0,0.9186046511627907,0.9875,0.9518072289156626,2.1772151898734178,1.0,2.9068208466821575,1.0,4.94329200591892,4.94329200591892
current,231,360.0,60.0,60.0,63,65,63.0,0.0,2.0,0.9692307692307692,1.0,0.9843749999999999,0.1746031746031746,0.0,0.3926767262493011,0.0,4.509749996941537,4.509749996941537
current,232,360.0,60.0,60.0,64,59,57.0,7.0,2.0,0.9661016949152542,0.890625,0.9268292682926829,1.2105263157894737,1.0,0.40768245749551757,7.0,4.446250000910368,4.446250000910368
current,233,360.0,60.0,60.0,104,107,104.0,0.0,3.0,0.9719626168224299,1.0,0.985781990521327,1.9134615384615385,1.0,4.407403249348404,0.0,5.564667000726331,5.564667000726331
